2026-06-19T10:25:24.790772083Z I0619 10:25:24.790504       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:25:24.790808136Z I0619 10:25:24.790517       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T10:25:24.905624189Z I0619 10:25:24.905382       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:25:24.905653278Z I0619 10:25:24.905438       1 node_controller.go:271] Update 3 nodes status took 623.742042ms.
2026-06-19T10:30:25.006791575Z I0619 10:30:25.006507       1 batcher.go:146] Batch processing duration: 100.61267ms
2026-06-19T10:30:25.006995368Z I0619 10:30:25.006655       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:30:25.007006651Z I0619 10:30:25.006675       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T10:30:25.083799724Z I0619 10:30:25.083665       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:30:25.184243458Z I0619 10:30:25.184100       1 batcher.go:146] Batch processing duration: 100.209966ms
2026-06-19T10:30:25.185050148Z I0619 10:30:25.184153       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:30:25.185080565Z I0619 10:30:25.184165       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T10:30:25.302084466Z I0619 10:30:25.301897       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:30:25.402825513Z I0619 10:30:25.402627       1 batcher.go:146] Batch processing duration: 100.609285ms
2026-06-19T10:30:25.402938453Z I0619 10:30:25.402680       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:30:25.402961368Z I0619 10:30:25.402693       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T10:30:25.511282654Z I0619 10:30:25.511133       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:30:25.511336161Z I0619 10:30:25.511166       1 node_controller.go:271] Update 3 nodes status took 605.397389ms.
2026-06-19T10:35:25.612106192Z I0619 10:35:25.611948       1 batcher.go:146] Batch processing duration: 100.091968ms
2026-06-19T10:35:25.612136349Z I0619 10:35:25.612001       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:35:25.612212562Z I0619 10:35:25.612063       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T10:35:25.693602743Z I0619 10:35:25.693404       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:35:25.794045534Z I0619 10:35:25.793797       1 batcher.go:146] Batch processing duration: 100.296384ms
2026-06-19T10:35:25.794123784Z I0619 10:35:25.793873       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:35:25.794129020Z I0619 10:35:25.793886       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T10:35:25.907674642Z I0619 10:35:25.907478       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:35:26.008712472Z I0619 10:35:26.008567       1 batcher.go:146] Batch processing duration: 100.945936ms
2026-06-19T10:35:26.008864912Z I0619 10:35:26.008622       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:35:26.008879455Z I0619 10:35:26.008747       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T10:35:26.076471415Z I0619 10:35:26.076331       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:35:26.076493715Z I0619 10:35:26.076366       1 node_controller.go:271] Update 3 nodes status took 564.626943ms.
2026-06-19T10:40:26.177818474Z I0619 10:40:26.177630       1 batcher.go:146] Batch processing duration: 100.26423ms
2026-06-19T10:40:26.177862309Z I0619 10:40:26.177698       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:40:26.177867136Z I0619 10:40:26.177710       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T10:40:26.375960472Z I0619 10:40:26.375745       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:40:26.476662028Z I0619 10:40:26.476492       1 batcher.go:146] Batch processing duration: 100.654273ms
2026-06-19T10:40:26.476780632Z I0619 10:40:26.476579       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:40:26.476874556Z I0619 10:40:26.476597       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
